,precision,recall,f1-score,support
Ball Fault,0.9489795918367347,0.9806678383128296,0.9645635263612792,569.0
Inner Race Fault,0.9837662337662337,0.9742765273311897,0.9789983844911146,622.0
Normal,1.0,0.9946808510638298,0.9973333333333333,188.0
Outer Race Fault,0.9874326750448833,0.9666080843585237,0.9769094138543517,569.0
accuracy,0.9758726899383984,0.9758726899383984,0.9758726899383984,0.9758726899383984
macro avg,0.9800446251619629,0.9790583252665932,0.9794511645100197,1948.0
weighted avg,0.9762429041366725,0.9758726899383984,0.9759413577016601,1948.0
